dish_family_id,category_id,is_primary
fam-wd-q16965840,cat-confections-and-sweets-33dd665f,true
fam-wd-q1093380,cat-sandwiches-116c3e15,true
fam-wd-q8077757,cat-salads-aa3e870c,true
fam-wd-q136393848,cat-casseroles-and-bakes-43c0edef,true
fam-wd-q70241,cat-soups-58c2caa7,true
fam-wd-q14914664,cat-soups-58c2caa7,true
fam-wd-q120682642,cat-fried-dishes-and-fritters-31bc2558,true
fam-wd-q2082064,cat-soups-58c2caa7,true
fam-wd-q523224,cat-rice-dishes-e5a0eea5,true
fam-wd-q5171049,cat-soups-58c2caa7,true
fam-wd-q5171054,cat-fried-dishes-and-fritters-31bc2558,true
fam-wd-q5175528,cat-puddings-and-custards-1664b0f1,true
fam-wd-q1138371,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q12421702,cat-curries-c13d2ace,true
fam-wd-q18111413,cat-seafood-dishes-67642233,true
fam-wd-q5180222,cat-seafood-dishes-67642233,true
fam-wd-q135927668,cat-breads-and-loaves-c2814f9c,true
fam-wd-q137908289,cat-soups-58c2caa7,true
fam-wd-q125030544,cat-soups-58c2caa7,true
fam-wd-q12200,cat-pancakes-and-crepes-283edd96,true
fam-wd-q70125,cat-fried-dishes-and-fritters-31bc2558,true
fam-wd-q132717554,cat-salads-aa3e870c,true
fam-wd-q872503,cat-sandwiches-116c3e15,true
fam-wd-q17997299,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q2634430,cat-rice-dishes-e5a0eea5,true
fam-wd-q2307239,cat-pies-and-pastries-eefde59e,true
fam-wd-q3234514,cat-rice-dishes-e5a0eea5,true
fam-wd-q5208692,cat-sandwiches-116c3e15,true
fam-wd-q104864044,cat-pies-and-pastries-eefde59e,true
fam-wd-q1228260,cat-rice-dishes-e5a0eea5,true
fam-wd-q136674388,cat-snacks-and-street-food-7e6d6760,true
fam-wd-q11853198,cat-seafood-dishes-67642233,true
fam-wd-q5305996,cat-soups-58c2caa7,true
fam-wd-q5309357,cat-noodle-dishes-f57723d0,true
fam-wd-q2893649,cat-seafood-dishes-67642233,true
fam-wd-q113002820,cat-soups-58c2caa7,true
fam-wd-q122957244,cat-rice-dishes-e5a0eea5,true
fam-wd-q115217655,cat-salads-aa3e870c,true
fam-wd-q17019149,cat-rice-dishes-e5a0eea5,true
fam-wd-q112787717,cat-soups-58c2caa7,true
fam-wd-q747457,cat-pies-and-pastries-eefde59e,true
fam-wd-q5379416,cat-sandwiches-116c3e15,true
fam-wd-q2915859,cat-pasta-dishes-18ec3e4d,true
fam-wd-q20016,cat-noodle-dishes-f57723d0,true
fam-wd-q117481518,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q60763218,cat-pasta-dishes-18ec3e4d,true
fam-wd-q18693799,cat-confections-and-sweets-33dd665f,true
fam-wd-q3309212,cat-sandwiches-116c3e15,true
fam-wd-q18164838,cat-dips-and-spreads-3b58ecf2,true
fam-wd-q1756289,cat-breads-and-loaves-c2814f9c,true
fam-wd-q5503619,cat-fried-dishes-and-fritters-31bc2558,true
fam-wd-q1465330,cat-fried-dishes-and-fritters-31bc2558,true
fam-wd-q5503628,cat-fried-dishes-and-fritters-31bc2558,true
fam-wd-q1076874,cat-rice-dishes-e5a0eea5,true
