source,target,edge_type,weight
cat-breads-and-loaves-c2814f9c,fam-wd-q28173633,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q56292893,category_family,1.000
cat-breakfast-dishes-7ff5de50,fam-wd-q1855212,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q50634,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q123913891,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q85749574,category_family,1.000
cat-wraps-and-rolls-dd6f3471,fam-wd-q390823,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q19712268,category_family,1.000
cat-casseroles-and-bakes-43c0edef,fam-wd-q5015278,category_family,1.000
cat-stews-ce00fa93,fam-wd-q1302342,category_family,1.000
cat-snacks-and-street-food-7e6d6760,fam-wd-q16850213,category_family,1.000
cat-snacks-and-street-food-7e6d6760,fam-wd-q5016282,category_family,1.000
cat-salads-aa3e870c,fam-wd-q275508,category_family,1.000
cat-skewers-and-grilled-dishes-08780632,fam-wd-q5055611,category_family,1.000
cat-wraps-and-rolls-dd6f3471,fam-wd-q1139527,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q21087825,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q28209622,category_family,1.000
cat-soups-58c2caa7,fam-wd-q7212986,category_family,1.000
cat-salads-aa3e870c,fam-wd-q568364,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q876624,category_family,1.000
cat-stews-ce00fa93,fam-wd-q136393820,category_family,1.000
cat-salads-aa3e870c,fam-wd-q85750898,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q109353074,category_family,1.000
cat-salads-aa3e870c,fam-wd-q1057953,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q703286,category_family,1.000
cat-curries-c13d2ace,fam-wd-q1061604,category_family,1.000
cat-skewers-and-grilled-dishes-08780632,fam-wd-q28169436,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q7185336,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q5084201,category_family,1.000
cat-skewers-and-grilled-dishes-08780632,fam-wd-q17006531,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q5092519,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q25005355,category_family,1.000
cat-wraps-and-rolls-dd6f3471,fam-wd-q111589124,category_family,1.000
cat-stews-ce00fa93,fam-wd-q863794,category_family,1.000
cat-stews-ce00fa93,fam-wd-q5331853,category_family,1.000
cat-curries-c13d2ace,fam-wd-q19895414,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q595744,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q30186,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q15985102,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q134125172,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q1721876,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q5103662,category_family,1.000
cat-flatbreads-and-pizzas-f0961fe2,fam-wd-q25038426,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q20092696,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q964107,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q556060,category_family,1.000
cat-wraps-and-rolls-dd6f3471,fam-wd-q254979,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q29019793,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q16965840,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q1093380,category_family,1.000
cat-salads-aa3e870c,fam-wd-q8077757,category_family,1.000
cat-casseroles-and-bakes-43c0edef,fam-wd-q136393848,category_family,1.000
cat-soups-58c2caa7,fam-wd-q70241,category_family,1.000
cat-soups-58c2caa7,fam-wd-q14914664,category_family,1.000
cat-fried-dishes-and-fritters-31bc2558,fam-wd-q120682642,category_family,1.000
cat-soups-58c2caa7,fam-wd-q2082064,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q523224,category_family,1.000
cat-soups-58c2caa7,fam-wd-q5171049,category_family,1.000
cat-fried-dishes-and-fritters-31bc2558,fam-wd-q5171054,category_family,1.000
cat-puddings-and-custards-1664b0f1,fam-wd-q5175528,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q1138371,category_family,1.000
cat-curries-c13d2ace,fam-wd-q12421702,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q18111413,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q5180222,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q135927668,category_family,1.000
cat-soups-58c2caa7,fam-wd-q137908289,category_family,1.000
cat-soups-58c2caa7,fam-wd-q125030544,category_family,1.000
cat-pancakes-and-crepes-283edd96,fam-wd-q12200,category_family,1.000
cat-fried-dishes-and-fritters-31bc2558,fam-wd-q70125,category_family,1.000
cat-salads-aa3e870c,fam-wd-q132717554,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q872503,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q17997299,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q2634430,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q2307239,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q3234514,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q5208692,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q104864044,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q1228260,category_family,1.000
cat-snacks-and-street-food-7e6d6760,fam-wd-q136674388,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q11853198,category_family,1.000
cat-soups-58c2caa7,fam-wd-q5305996,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q5309357,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q2893649,category_family,1.000
cat-soups-58c2caa7,fam-wd-q113002820,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q122957244,category_family,1.000
cat-salads-aa3e870c,fam-wd-q115217655,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q17019149,category_family,1.000
cat-soups-58c2caa7,fam-wd-q112787717,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q747457,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q5379416,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q2915859,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q20016,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q117481518,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q60763218,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q18693799,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q3309212,category_family,1.000
cat-dips-and-spreads-3b58ecf2,fam-wd-q18164838,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q1756289,category_family,1.000
cat-fried-dishes-and-fritters-31bc2558,fam-wd-q5503619,category_family,1.000
cat-fried-dishes-and-fritters-31bc2558,fam-wd-q1465330,category_family,1.000
cat-fried-dishes-and-fritters-31bc2558,fam-wd-q5503628,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q1076874,category_family,1.000
cat-snacks-and-street-food-7e6d6760,fam-wd-q152088,category_family,1.000
cat-salads-aa3e870c,fam-wd-q137785263,category_family,1.000
cat-salads-aa3e870c,fam-wd-q152834,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q379138,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q109820549,category_family,1.000
cat-salads-aa3e870c,fam-wd-q5522421,category_family,1.000
cat-soups-58c2caa7,fam-wd-q15121455,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q683495,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q1146771,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q1533235,category_family,1.000
cat-soups-58c2caa7,fam-wd-q25220535,category_family,1.000
cat-stews-ce00fa93,fam-wd-q205762,category_family,1.000
cat-puddings-and-custards-1664b0f1,fam-wd-q713869,category_family,1.000
cat-salads-aa3e870c,fam-wd-q240801,category_family,1.000
cat-snacks-and-street-food-7e6d6760,fam-wd-q24027629,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q5643900,category_family,1.000
cat-burgers-09c6dfae,fam-wd-q6663,category_family,1.000
cat-flatbreads-and-pizzas-f0961fe2,fam-wd-q111938080,category_family,1.000
cat-flatbreads-and-pizzas-f0961fe2,fam-wd-q590076,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q97609970,category_family,1.000
cat-soups-58c2caa7,fam-wd-q16928375,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q109409667,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q2445410,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q16182271,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q263351,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q6038850,category_family,1.000
cat-salads-aa3e870c,fam-wd-q2904240,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q120961670,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q715040,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q30671978,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q19746552,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q2202018,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q816663,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q11676485,category_family,1.000
cat-skewers-and-grilled-dishes-08780632,fam-wd-q6009729,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q19573003,category_family,1.000
cat-sauces-and-condiments-10f97308,fam-wd-q122782077,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q125457823,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q85773496,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q1124851,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q123910268,category_family,1.000
cat-dips-and-spreads-3b58ecf2,fam-wd-q85774221,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q6403206,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q6404116,category_family,1.000
cat-skewers-and-grilled-dishes-08780632,fam-wd-q13096825,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q125745103,category_family,1.000
cat-stews-ce00fa93,fam-wd-q28455614,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q1197104,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q109539600,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q55285600,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q20034,category_family,1.000
cat-soups-58c2caa7,fam-wd-q1827035,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q281385,category_family,1.000
cat-snacks-and-street-food-7e6d6760,fam-wd-q121027105,category_family,1.000
cat-seafood-dishes-67642233,fam-wd-q2894864,category_family,1.000
cat-skewers-and-grilled-dishes-08780632,fam-wd-q1105512,category_family,1.000
cat-burgers-09c6dfae,fam-wd-q1094305,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q378341,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q2495505,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q11339918,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q12971248,category_family,1.000
cat-stews-ce00fa93,fam-wd-q18883046,category_family,1.000
cat-soups-58c2caa7,fam-wd-q6747617,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q13013369,category_family,1.000
cat-soups-58c2caa7,fam-wd-q137908295,category_family,1.000
cat-vegetable-and-legume-mains-b836795b,fam-wd-q6789614,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q5367573,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q97101726,category_family,1.000
cat-flatbreads-and-pizzas-f0961fe2,fam-wd-q6826082,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q19738539,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q6827067,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q16765345,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q130553333,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q4208661,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q26877970,category_family,1.000
cat-salads-aa3e870c,fam-wd-q4293923,category_family,1.000
cat-sauces-and-condiments-10f97308,fam-wd-q777487,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q6904753,category_family,1.000
cat-casseroles-and-bakes-43c0edef,fam-wd-q206918,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q655235,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q20423491,category_family,1.000
cat-puddings-and-custards-1664b0f1,fam-wd-q129900296,category_family,1.000
cat-soups-58c2caa7,fam-wd-q7000528,category_family,1.000
cat-salads-aa3e870c,fam-wd-q209486,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q85789410,category_family,1.000
cat-soups-58c2caa7,fam-wd-q25056844,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q19695011,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q26884006,category_family,1.000
cat-soups-58c2caa7,fam-wd-q7079882,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q1136876,category_family,1.000
cat-soups-58c2caa7,fam-wd-q19573431,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q111283137,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q7087232,category_family,1.000
cat-salads-aa3e870c,fam-wd-q281278,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q23461185,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q28224446,category_family,1.000
cat-soups-58c2caa7,fam-wd-q113070503,category_family,1.000
cat-wraps-and-rolls-dd6f3471,fam-wd-q614757,category_family,1.000
cat-soups-58c2caa7,fam-wd-q17109263,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q730298,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q212121,category_family,1.000
cat-soups-58c2caa7,fam-wd-q17005230,category_family,1.000
cat-pancakes-and-crepes-283edd96,fam-wd-q44541,category_family,1.000
cat-pancakes-and-crepes-283edd96,fam-wd-q107358612,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q7132274,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q7142949,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q55641393,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q1761000,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q3897489,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q3897472,category_family,1.000
cat-pasta-dishes-18ec3e4d,fam-wd-q1052236,category_family,1.000
cat-dips-and-spreads-3b58ecf2,fam-wd-q60977870,category_family,1.000
cat-dips-and-spreads-3b58ecf2,fam-wd-q23907623,category_family,1.000
cat-soups-58c2caa7,fam-wd-q11076619,category_family,1.000
cat-snacks-and-street-food-7e6d6760,fam-wd-q3629971,category_family,1.000
cat-soups-58c2caa7,fam-wd-q112967822,category_family,1.000
cat-soups-58c2caa7,fam-wd-q367225,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q1369093,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q117971950,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q25005338,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q5261363,category_family,1.000
cat-puddings-and-custards-1664b0f1,fam-wd-q7170363,category_family,1.000
cat-salads-aa3e870c,fam-wd-q27500854,category_family,1.000
