dish_family_id,technique_id,role,is_core,weight
fam-wd-q7185336,tec-steam-3f9d1489,core,true,0.850
fam-wd-q7185336,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q5084201,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q5084201,tec-steam-3f9d1489,core,true,0.850
fam-wd-q5084201,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q1067884,tec-sweat-aromatics-593b919d,core,true,1.000
fam-wd-q1067884,tec-braise-4a3832ff,core,true,0.850
fam-wd-q1067884,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q111609502,tec-sweat-aromatics-593b919d,core,true,1.000
fam-wd-q111609502,tec-braise-4a3832ff,core,true,0.850
fam-wd-q111609502,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q1068574,tec-steam-3f9d1489,core,true,1.000
fam-wd-q1068574,tec-grill-7732deea,core,true,0.850
fam-wd-q1068574,tec-slice-c5c54944,supporting,false,0.700
fam-wd-q17006531,tec-marinate-859deca1,core,true,1.000
fam-wd-q17006531,tec-grill-7732deea,core,true,0.850
fam-wd-q17006531,tec-baste-10f9f578,supporting,false,0.700
fam-wd-q5092519,tec-laminate-ca13220f,core,true,1.000
fam-wd-q5092519,tec-blind-bake-37c44eed,core,true,0.850
fam-wd-q5092519,tec-brush-wash-a5a993b1,supporting,false,0.700
fam-wd-q25005355,tec-laminate-ca13220f,core,true,1.000
fam-wd-q25005355,tec-blind-bake-37c44eed,core,true,0.850
fam-wd-q25005355,tec-brush-wash-a5a993b1,supporting,false,0.700
fam-wd-q114352250,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q114352250,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q114352250,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q111589124,tec-fill-crepes-6bab5c44,core,true,1.000
fam-wd-q111589124,tec-roll-82a127e4,core,true,0.850
fam-wd-q111589124,tec-stuff-996e573e,supporting,false,0.700
fam-wd-q5098719,tec-toast-spices-1bf6f315,core,true,1.000
fam-wd-q5098719,tec-braise-4a3832ff,core,true,0.850
fam-wd-q5098719,tec-griddle-717e3046,supporting,false,0.700
fam-wd-q863794,tec-braise-4a3832ff,core,true,0.850
fam-wd-q863794,tec-slow-cook-101c2f4f,supporting,false,0.700
fam-wd-q863794,tec-toast-spices-1bf6f315,supporting,false,0.550
fam-wd-q5331853,tec-braise-4a3832ff,core,true,0.850
fam-wd-q5331853,tec-slow-cook-101c2f4f,supporting,false,0.700
fam-wd-q5331853,tec-stir-fry-ee979e71,supporting,false,0.550
fam-wd-q19895414,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q19895414,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q19895414,tec-finish-with-herbs-a5755269,supporting,false,0.700
fam-wd-q464545,tec-steam-3f9d1489,core,true,1.000
fam-wd-q464545,tec-grill-7732deea,core,true,0.850
fam-wd-q464545,tec-slice-c5c54944,supporting,false,0.700
fam-wd-q5102345,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q5102345,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q5102345,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q595744,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q595744,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q30186,tec-whisk-297ea626,core,true,1.000
fam-wd-q30186,tec-fold-3d6b3a9d,core,true,0.850
fam-wd-q30186,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q15985102,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q15985102,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q134125172,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q134125172,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q1721876,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q1721876,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q5103662,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q5103662,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q5103662,tec-sweat-aromatics-593b919d,supporting,false,0.550
fam-wd-q25038426,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q25038426,tec-proof-24fa378d,core,true,0.850
fam-wd-q25038426,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q20092696,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q20092696,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q964107,tec-boil-29213ba5,core,true,1.000
fam-wd-q964107,tec-stir-fry-ee979e71,core,true,0.850
fam-wd-q964107,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q556060,tec-whisk-297ea626,core,true,1.000
fam-wd-q556060,tec-fold-3d6b3a9d,core,true,0.850
fam-wd-q556060,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q11162,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q11162,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q11162,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q254979,tec-fill-crepes-6bab5c44,core,true,1.000
fam-wd-q254979,tec-roll-82a127e4,core,true,0.850
fam-wd-q254979,tec-stuff-996e573e,supporting,false,0.700
fam-wd-q29019793,tec-laminate-ca13220f,core,true,1.000
fam-wd-q29019793,tec-blind-bake-37c44eed,core,true,0.850
fam-wd-q29019793,tec-brush-wash-a5a993b1,supporting,false,0.700
fam-wd-q2975184,tec-toast-spices-1bf6f315,core,true,1.000
