id,slug,name,normalized_name,description,dish_id,parent_variation_id,variation_type,source_id,source_url,attribution_text,author_name,location_text,is_canonical,created_at,updated_at
var-cactus-fries-690183ee,cactus-fries,Cactus fries,cactus fries,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q16850213,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q16850213,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-buttons-f70b080c,cadbury-buttons,Cadbury Buttons,cadbury buttons,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016258,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016258,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-dairy-milk-fruit-and-nut-60a63355,cadbury-dairy-milk-fruit-and-nut,Cadbury Dairy Milk Fruit & Nut,cadbury dairy milk fruit nut,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016266,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016266,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-eclairs-1bb13bd2,cadbury-eclairs,Cadbury Eclairs,cadbury eclairs,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016268,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016268,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-favourites-34c9b422,cadbury-favourites,Cadbury Favourites,cadbury favourites,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q130300520,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q130300520,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-roses-402a4dd0,cadbury-roses,Cadbury Roses,cadbury roses,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016278,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016278,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-shots-c99a6253,cadbury-shots,Cadbury Shots,cadbury shots,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016279,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016279,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-snack-c85da5cf,cadbury-snack,Cadbury Snack,cadbury snack,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016282,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016282,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-snowflake-7193e359,cadbury-snowflake,Cadbury Snowflake,cadbury snowflake,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016284,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016284,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadbury-spira-4e23c66d,cadbury-spira,Cadbury Spira,cadbury spira,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016285,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016285,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cadburys-tempo-9db28275,cadburys-tempo,Cadburys Tempo,cadburys tempo,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016287,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016287,Canonical starter reference,,South Africa,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-caesar-salad-2e919972,caesar-salad,Caesar salad,caesar salad,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q275508,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q275508,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cafe-com-mistura-a1e4c38a,cafe-com-mistura,Café com mistura,cafe com mistura,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q138024534,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q138024534,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cafe-gourmand-594ab3ef,cafe-gourmand,Café gourmand,cafe gourmand,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q2933003,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q2933003,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cafe-liegeois-2bcd9c73,cafe-liegeois,café liégeois,cafe liegeois,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q2080641,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q2080641,Canonical starter reference,,France,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cag-kebab-0fb0d818,cag-kebab,Cağ kebabı,cag kebab,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5055611,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5055611,Canonical starter reference,,Turkey,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-caldo-galego-0691ba82,caldo-galego,Caldo galego,caldo galego,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q1026488,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q1026488,Canonical starter reference,,Spain,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-caldoso-5a53c164,caldoso,Caldoso,caldoso,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q3823969,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q3823969,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-california-roll-78731ad3,california-roll,California roll,california roll,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q1139527,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q1139527,Canonical starter reference,,United States,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-caluk-noodles-59c9f76a,caluk-noodles,Caluk noodles,caluk noodles,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q21087825,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q21087825,Canonical starter reference,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-campanile-be83eff7,campanile,Campanile,campanile,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q18638792,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q18638792,Canonical starter reference,,France,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-canarian-wrinkly-potatoes-ed37397d,canarian-wrinkly-potatoes,Canarian wrinkly potatoes,canarian wrinkly potatoes,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q597159,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q597159,Canonical starter reference,,Spain,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-candy-raisins-be368877,candy-raisins,Candy Raisins,candy raisins,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q28209622,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q28209622,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cantonese-slow-cooked-soup-91dc936e,cantonese-slow-cooked-soup,Cantonese slow-cooked soup,cantonese slow cooked soup,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q7212986,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q7212986,Canonical starter reference,,People's Republic of China,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-capra-e-fagioli-dad2d9aa,capra-e-fagioli,Capra e fagioli,capra e fagioli,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q61743260,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q61743260,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-caprese-salad-88024797,caprese-salad,Caprese salad,caprese salad,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q568364,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q568364,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-caragols-a-la-llauna-1229ea1f,caragols-a-la-llauna,Caragols a la llauna,caragols a la llauna,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q69214,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q69214,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-carbonade-flamande-fe2762ef,carbonade-flamande,carbonade flamande,carbonade flamande,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q138553,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q138553,Canonical starter reference,,Belgium,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-carbonara-d28d0110,carbonara,carbonara,carbonara,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q876624,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q876624,Canonical starter reference,,United States,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-carcamusa-ba622c1c,carcamusa,carcamusa,carcamusa,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q3848112,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q3848112,Canonical starter reference,,Toledo Province,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-caribou-stew-b21820f3,caribou-stew,Caribou stew,caribou stew,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q136393820,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q136393820,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
