id,slug,name,normalized_name,description,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,popularity_rank,created_at,updated_at
fam-wd-q132717554,cucumber-salad,cucumber salad,cucumber salad,Canonical starter dish entry for cucumber salad. Seeded from Wikidata with an English Wikipedia sitelink.,cat-salads-aa3e870c,,Q132717554,Cucumber salad,,537,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q872503,cucumber-sandwich,cucumber sandwich,cucumber sandwich,Canonical starter dish entry for cucumber sandwich. Origin: United Kingdom. Seeded from Wikidata with an English Wikipedia sitelink.,cat-sandwiches-116c3e15,cui-wd-q918277,Q872503,Cucumber sandwich,,538,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q17997299,cucur-cake,Cucur cake,cucur cake,Canonical starter dish entry for Cucur cake. Origin: Brunei. Seeded from Wikidata with an English Wikipedia sitelink.,cat-cakes-and-gateaux-d8e29f50,,Q17997299,Kue cucur,,539,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q613665,cullen-skink,cullen skink,cullen skink,Canonical starter dish entry for cullen skink. Origin: Scotland. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q613665,Cullen skink,,543,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q85754826,cup-bop,Cup-bop,cup bop,Canonical starter dish entry for Cup-bop. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q85754826,Cup-bap,,544,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q3699535,cupeta,Cupeta,cupeta,Canonical starter dish entry for Cupeta. Origin: Italy. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q192786,Q3699535,Cupeta,,545,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2634430,curd-rice,Curd rice,curd rice,Canonical starter dish entry for Curd rice. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,cat-rice-dishes-e5a0eea5,cui-wd-q192087,Q2634430,Curd rice,,546,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2307239,custard-tart,custard tart,custard tart,Canonical starter dish entry for custard tart. Origin: France. Seeded from Wikidata with an English Wikipedia sitelink.,cat-pies-and-pastries-eefde59e,cui-wd-q6661,Q2307239,Custard tart,,547,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q17064469,cvarci,čvarci,cvarci,Canonical starter dish entry for čvarci. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q17064469,Čvarci,,548,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q13231338,czech-style-hot-dog,Czech-style hot dog,czech style hot dog,Canonical starter dish entry for Czech-style hot dog. Origin: Czech Republic. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q871595,Q13231338,Párek v rohlíku,,549,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q28223958,da-jiu-jia,Da jiu-jia,da jiu jia,Canonical starter dish entry for Da jiu-jia. Origin: Tengchong City. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q28223958,Da jiu-jia,,550,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q24945547,daab-chingri,Daab Chingri,daab chingri,Canonical starter dish entry for Daab Chingri. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q24945547,Daab chingri,,551,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
