id,label,node_type,parent_id,cuisine_id,category_id,family_id,size_hint
fam-curry-chicken-noodles-24b1ecc3,Curry chicken noodles,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-curry-chicken-noodles-24b1ecc3,9
fam-katong-laksa-eb3c3b0f,Katong Laksa,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-katong-laksa-eb3c3b0f,9
fam-vegetarian-bee-hoon-49e4c61e,Vegetarian bee hoon,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-vegetarian-bee-hoon-49e4c61e,9
fam-boat-noodles-a5021f93,Boat noodles,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-boat-noodles-a5021f93,9
fam-nam-ngiao-8b609936,Nam ngiao,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-nam-ngiao-8b609936,9
fam-pad-see-ew-915fe511,Pad see ew,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-pad-see-ew-915fe511,9
fam-rat-na-f7dd1b1d,Rat na,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-rat-na-f7dd1b1d,9
fam-sukhothai-rice-noodles-a26d209b,Sukhothai rice noodles,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-sukhothai-rice-noodles-a26d209b,9
fam-laghman-food-fe22ecbc,Laghman (food),dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-laghman-food-fe22ecbc,9
fam-naryn-dish-3eb53b7c,Naryn (dish),dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-naryn-dish-3eb53b7c,9
fam-idiyappam-ed19b5ae,Idiyappam,dish_family,cat-noodle-dishes-f57723d0,,cat-noodle-dishes-f57723d0,fam-idiyappam-ed19b5ae,9
