dish_family_id,cuisine_id,relation_kind
fam-wd-q5523464,cui-wd-q1324207,associated
fam-wd-q5528400,cui-wd-q192087,associated
fam-wd-q4264051,cui-wd-q787497,associated
fam-wd-q5262528,cui-wd-q787497,associated
fam-wd-q12484057,cui-wd-q787497,associated
fam-wd-q3104777,cui-wd-q684343,associated
fam-wd-q107047575,cui-wd-q647500,associated
fam-wd-q495360,cui-wd-q647500,associated
fam-wd-q3769881,cui-wd-q192786,associated
fam-wd-q107357232,cui-wd-q7033037,associated
fam-wd-q1533235,cui-wd-q192786,associated
fam-wd-q25220535,cui-wd-q7033037,associated
fam-wd-q7799573,cui-wd-q826059,associated
fam-wd-q60761452,cui-wd-q1520796,associated
fam-wd-q240801,cui-wd-q744027,associated
fam-wd-q10316276,cui-wd-q180817,associated
fam-wd-q5613356,cui-wd-q207965,associated
fam-wd-q1554207,cui-wd-q1089120,associated
fam-wd-q30607840,cui-wd-q192087,associated
fam-wd-q1501043,cui-wd-q654493,associated
fam-wd-q3503333,cui-wd-q264327,associated
fam-wd-q113023113,cui-wd-q7033037,associated
fam-wd-q16573500,cui-wd-q192087,associated
fam-wd-q24027629,cui-wd-q783010,associated
fam-wd-q12208569,cui-wd-q4119264,associated
fam-wd-q5643212,cui-wd-q1145205,associated
fam-wd-q6663,cui-american-60d23958,associated
fam-wd-q3062329,cui-wd-q234138,associated
fam-wd-q111938080,cui-wd-q139430,associated
fam-wd-q1513612,cui-wd-q1150262,associated
fam-wd-q590076,cui-wd-q1324207,associated
fam-wd-q5684686,cui-wd-q1346230,associated
fam-wd-q4373369,cui-wd-q647500,associated
fam-wd-q5750159,cui-wd-q234138,associated
fam-wd-q878318,cui-wd-q47629,associated
fam-wd-q8017486,cui-wd-q647500,associated
fam-wd-q20009814,cui-wd-q192786,associated
fam-wd-q11326596,cui-wd-q234138,associated
fam-wd-q385808,cui-wd-q622512,associated
fam-wd-q135921153,cui-american-60d23958,associated
fam-wd-q496999,cui-wd-q647500,associated
fam-wd-q27909648,cui-wd-q826059,associated
fam-wd-q2681008,cui-wd-q207965,associated
fam-wd-q60740502,cui-wd-q1520796,associated
fam-wd-q6027429,cui-wd-q654493,associated
fam-wd-q30324437,cui-wd-q6661,associated
fam-wd-q703147,cui-wd-q647500,associated
fam-wd-q16182271,cui-wd-q787497,associated
fam-wd-q1156634,cui-wd-q192786,associated
fam-wd-q137565863,cui-wd-q787497,associated
fam-wd-q12964893,cui-wd-q1520796,associated
fam-wd-q11259099,cui-wd-q234138,associated
fam-wd-q2138334,cui-wd-q234138,associated
fam-wd-q136485229,cui-wd-q7033037,associated
fam-wd-q126284886,cui-wd-q7033037,associated
fam-wd-q5914438,cui-wd-q579500,associated
fam-wd-q25066353,cui-wd-q192087,associated
fam-wd-q6080770,cui-wd-q7033037,associated
fam-wd-q2904240,cui-wd-q62458,associated
fam-wd-q12486868,cui-wd-q787497,associated
fam-wd-q12812924,cui-wd-q654493,associated
fam-wd-q6125429,cui-wd-q234138,associated
fam-wd-q20427131,cui-wd-q787497,associated
fam-wd-q120961670,cui-wd-q918277,associated
fam-wd-q715040,cui-wd-q647500,associated
fam-wd-q30671978,cui-wd-q1520796,associated
fam-wd-q19746552,cui-wd-q787497,associated
fam-wd-q6297757,cui-wd-q192087,associated
fam-wd-q6192335,cui-wd-q1324207,associated
fam-wd-q2023763,cui-wd-q787497,associated
fam-wd-q57981532,cui-wd-q787497,associated
fam-wd-q816663,cui-wd-q7033037,associated
fam-wd-q2835652,cui-wd-q622512,associated
fam-wd-q8086165,cui-american-60d23958,associated
fam-wd-q45344116,cui-wd-q9943666,associated
fam-wd-q11676485,cui-wd-q234138,associated
fam-wd-q6009729,cui-wd-q654493,associated
fam-wd-q905204,cui-wd-q234138,associated
fam-wd-q3043512,cui-wd-q1520796,associated
fam-wd-q19573003,cui-wd-q787497,associated
fam-wd-q19943522,cui-wd-q787497,associated
fam-wd-q122782077,cui-wd-q139430,associated
fam-wd-q85773496,cui-wd-q192087,associated
fam-wd-q96385320,cui-wd-q192087,associated
fam-wd-q12489250,cui-wd-q787497,associated
fam-wd-q4203530,cui-wd-q787497,associated
fam-wd-q3497556,cui-wd-q654493,associated
fam-wd-q136834487,cui-wd-q684343,associated
fam-wd-q1124851,cui-wd-q47629,associated
fam-wd-q134562216,cui-wd-q234138,associated
fam-wd-q16937065,cui-wd-q9943666,associated
fam-wd-q3391174,cui-wd-q787497,associated
fam-wd-q2354397,cui-wd-q787497,associated
fam-wd-q113070433,cui-wd-q7033037,associated
fam-wd-q12490514,cui-wd-q787497,associated
fam-wd-q18043321,cui-wd-q654493,associated
