from_dish_id,to_dish_id,relation_type,weight
dish-dandan-noodles-1697cf2d,dish-hokkien-mee-2e6d199a,same_category_neighbor,0.350
dish-hokkien-mee-2e6d199a,dish-hot-and-sour-noodles-ec5fccc5,same_category_neighbor,0.350
dish-hot-and-sour-noodles-ec5fccc5,dish-hot-dry-noodles-4344c226,same_category_neighbor,0.350
dish-hot-dry-noodles-4344c226,dish-hui-mian-796b70f6,same_category_neighbor,0.350
dish-hui-mian-796b70f6,dish-jiangshui-noodles-8e3aa880,same_category_neighbor,0.350
dish-jiangshui-noodles-8e3aa880,dish-lanzhou-beef-noodle-soup-668c941c,same_category_neighbor,0.350
dish-lanzhou-beef-noodle-soup-668c941c,dish-liangpi-6f660477,same_category_neighbor,0.350
dish-liangpi-6f660477,dish-luosifen-73f10469,same_category_neighbor,0.350
dish-luosifen-73f10469,dish-mee-pok-f55a6d9a,same_category_neighbor,0.350
dish-mee-pok-f55a6d9a,dish-millinge-3b66325a,same_category_neighbor,0.350
dish-millinge-3b66325a,dish-misua-5bd394ac,same_category_neighbor,0.350
dish-misua-5bd394ac,dish-noodles-with-tomato-egg-sauce-c9b214fc,same_category_neighbor,0.350
dish-noodles-with-tomato-egg-sauce-c9b214fc,dish-satay-bee-hoon-2b13daee,same_category_neighbor,0.350
dish-satay-bee-hoon-2b13daee,dish-shanghai-fried-noodles-54307b4e,same_category_neighbor,0.350
dish-shanghai-fried-noodles-54307b4e,dish-suan-la-fen-6bb3c793,same_category_neighbor,0.350
dish-suan-la-fen-6bb3c793,dish-wonton-noodles-4872c2ba,same_category_neighbor,0.350
dish-wonton-noodles-4872c2ba,dish-yuntunmian-b8050086,same_category_neighbor,0.350
dish-yuntunmian-b8050086,dish-zhajiangmian-1bb244b2,same_category_neighbor,0.350
dish-zhajiangmian-1bb244b2,dish-beef-chow-fun-f771c626,same_category_neighbor,0.350
dish-beef-chow-fun-f771c626,dish-hiyashi-chuka-854c6ffe,same_category_neighbor,0.350
