id,name,normalized_name,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title
fam-wd-q113291374,babelutte,babelutte,,cui-belgian-f69a2115,Q113291374,Babelutte
fam-wd-q28163754,babi kecap,babi kecap,,cui-wd-q787497,Q28163754,Babi kecap
fam-wd-q119828752,babka,babka,,,Q119828752,Babka
fam-wd-q4838117,Babute,babute,,,Q4838117,Babute
fam-wd-q2878129,Bacalao al ajoarriero,bacalao al ajoarriero,,cui-wd-q622512,Q2878129,Bacalao al ajoarriero
fam-wd-q541392,Bacalhau à Brás,bacalhau a bras,,cui-wd-q180817,Q541392,Bacalhau à Brás
fam-wd-q4838584,Bacalhau à Gomes de Sá,bacalhau a gomes de sa,,cui-wd-q180817,Q4838584,Bacalhau à Gomes de Sá
fam-wd-q16496019,Bacalhau à Narcisa,bacalhau a narcisa,,cui-wd-q180817,Q16496019,Bacalhau à Narcisa
fam-wd-q4838586,Bacalhau à Zé do Pipo,bacalhau a ze do pipo,,cui-wd-q180817,Q4838586,Bacalhau à Zé do Pipo
fam-wd-q4838579,Bacalhau com natas,bacalhau com natas,,cui-wd-q180817,Q4838579,Bacalhau com natas
fam-wd-q63228690,baccalà mantecato,baccala mantecato,,cui-wd-q192786,Q63228690,Baccalà mantecato
fam-wd-q3632533,baci di dama,baci di dama,,cui-wd-q192786,Q3632533,Baci di dama
fam-wd-q389574,Backhendl,backhendl,,,Q389574,Backhendl
fam-wd-q1093790,Bacon Explosion,bacon explosion,,cui-american-60d23958,Q1093790,Bacon Explosion
fam-wd-q4841448,Bagara khana,bagara khana,,,Q4841448,Bagara khana
fam-wd-q111317807,Bagharj,bagharj,,cui-wd-q684343,Q111317807,Bagharj
fam-wd-q96372980,Bagoong fried rice,bagoong fried rice,cat-rice-dishes-e5a0eea5,,Q96372980,Bagoong fried rice
fam-wd-q2879351,Bai ye,bai ye,,,Q2879351,Bai ye
fam-wd-q983160,bak kut teh,bak kut teh,,cui-wd-q772247,Q983160,Bak kut teh
fam-wd-q65210830,Bakakak hayam,bakakak hayam,,cui-wd-q787497,Q65210830,Bakakak hayam
