entity_type,entity_id,alias,normalized_alias,language_code,source_id,is_preferred
ingredient,ing-mealdb-37,Broccoli,broccoli,en,src-mealdb,true
ingredient,ing-mealdb-38,Brown Lentils,brown lentils,en,src-mealdb,true
ingredient,ing-mealdb-39,Brown Rice,brown rice,en,src-mealdb,true
ingredient,ing-mealdb-40,Brown Sugar,brown sugar,en,src-mealdb,true
ingredient,ing-mealdb-41,Butter,butter,en,src-mealdb,true
ingredient,ing-mealdb-43,Cacao,cacao,en,src-mealdb,true
ingredient,ing-mealdb-44,Cajun,cajun,en,src-mealdb,true
ingredient,ing-mealdb-45,Canned Tomatoes,canned tomatoes,en,src-mealdb,true
ingredient,ing-mealdb-46,Cannellini Beans,cannellini beans,en,src-mealdb,true
ingredient,ing-mealdb-47,Cardamom,cardamom,en,src-mealdb,true
ingredient,ing-mealdb-49,Carrots,carrots,en,src-mealdb,true
ingredient,ing-mealdb-50,Cashew Nuts,cashew nuts,en,src-mealdb,true
ingredient,ing-mealdb-51,Cashews,cashews,en,src-mealdb,true
ingredient,ing-mealdb-52,Caster Sugar,caster sugar,en,src-mealdb,true
ingredient,ing-mealdb-53,Cayenne Pepper,cayenne pepper,en,src-mealdb,true
ingredient,ing-mealdb-53,cayenne pepper pod,cayenne pepper pod,en,src-foodon,false
ingredient,ing-mealdb-54,Celeriac,celeriac,en,src-mealdb,true
ingredient,ing-mealdb-55,Celery,celery,en,src-mealdb,true
ingredient,ing-mealdb-56,Celery Salt,celery salt,en,src-mealdb,true
ingredient,ing-mealdb-57,Challots,challots,en,src-mealdb,true
ingredient,ing-mealdb-58,Charlotte Potatoes,charlotte potatoes,en,src-mealdb,true
ingredient,ing-mealdb-59,Cheddar Cheese,cheddar cheese,en,src-mealdb,true
ingredient,ing-mealdb-60,Cheese,cheese,en,src-mealdb,true
ingredient,ing-mealdb-61,Cheese Curds,cheese curds,en,src-mealdb,true
ingredient,ing-mealdb-62,Cherry Tomatoes,cherry tomatoes,en,src-mealdb,true
ingredient,ing-mealdb-63,Chestnut Mushroom,chestnut mushroom,en,src-mealdb,true
ingredient,ing-mealdb-65,Chicken Breast,chicken breast,en,src-mealdb,true
ingredient,ing-mealdb-65,chicken pectoral muscle,chicken pectoral muscle,en,src-foodon,false
ingredient,ing-mealdb-66,Chicken Breasts,chicken breasts,en,src-mealdb,true
ingredient,ing-mealdb-67,Chicken Legs,chicken legs,en,src-mealdb,true
ingredient,ing-mealdb-68,Chicken Stock,chicken stock,en,src-mealdb,true
ingredient,ing-mealdb-70,Chicken Thighs,chicken thighs,en,src-mealdb,true
ingredient,ing-mealdb-71,Chickpeas,chickpeas,en,src-mealdb,true
ingredient,ing-mealdb-72,Chili Powder,chili powder,en,src-mealdb,true
ingredient,ing-mealdb-73,Chilled Butter,chilled butter,en,src-mealdb,true
ingredient,ing-mealdb-74,Chilli,chilli,en,src-mealdb,true
ingredient,ing-mealdb-75,Chilli Powder,chilli powder,en,src-mealdb,true
ingredient,ing-mealdb-76,Chinese Broccoli,chinese broccoli,en,src-mealdb,true
ingredient,ing-mealdb-77,Chocolate Chips,chocolate chips,en,src-mealdb,true
ingredient,ing-mealdb-78,Chopped Onion,chopped onion,en,src-mealdb,true
ingredient,ing-mealdb-79,Chopped Parsley,chopped parsley,en,src-mealdb,true
ingredient,ing-mealdb-80,Chopped Tomatoes,chopped tomatoes,en,src-mealdb,true
ingredient,ing-mealdb-81,Chorizo,chorizo,en,src-mealdb,true
ingredient,ing-mealdb-82,Christmas Pudding,christmas pudding,en,src-mealdb,true
ingredient,ing-mealdb-82,plum pudding,plum pudding,en,src-foodon,false
ingredient,ing-mealdb-83,Cilantro,cilantro,en,src-mealdb,true
ingredient,ing-mealdb-84,Cinnamon,cinnamon,en,src-mealdb,true
ingredient,ing-mealdb-85,Cinnamon Stick,cinnamon stick,en,src-mealdb,true
ingredient,ing-mealdb-87,Cloves,cloves,en,src-mealdb,true
ingredient,ing-mealdb-88,Coco Sugar,coco sugar,en,src-mealdb,true
ingredient,ing-mealdb-89,Cocoa,cocoa,en,src-mealdb,true
ingredient,ing-mealdb-89,cocoa powder,cocoa powder,en,src-foodon,false
ingredient,ing-mealdb-90,Coconut Cream,coconut cream,en,src-mealdb,true
ingredient,ing-mealdb-91,Coconut Milk,coconut milk,en,src-mealdb,true
ingredient,ing-mealdb-92,Colby Jack Cheese,colby jack cheese,en,src-mealdb,true
ingredient,ing-mealdb-93,Cold Water,cold water,en,src-mealdb,true
ingredient,ing-mealdb-94,Condensed Milk,condensed milk,en,src-mealdb,true
ingredient,ing-mealdb-95,Coriander,coriander,en,src-mealdb,true
ingredient,ing-mealdb-96,Coriander Leaves,coriander leaves,en,src-mealdb,true
ingredient,ing-mealdb-97,Coriander Seeds,coriander seeds,en,src-mealdb,true
ingredient,ing-mealdb-98,Corn Tortillas,corn tortillas,en,src-mealdb,true
ingredient,ing-mealdb-99,Cornstarch,cornstarch,en,src-mealdb,true
ingredient,ing-mealdb-100,Cream,cream,en,src-mealdb,true
ingredient,ing-mealdb-101,Creme Fraiche,creme fraiche,en,src-mealdb,true
ingredient,ing-mealdb-102,Cubed Feta Cheese,cubed feta cheese,en,src-mealdb,true
ingredient,ing-mealdb-103,Cucumber,cucumber,en,src-mealdb,true
ingredient,ing-mealdb-103,<http://purl.obolibrary.org/obo/NCBITaxon_3659>,http purl obolibrary org obo ncbitaxon 3659,en,src-foodon,false
ingredient,ing-mealdb-104,Cumin,cumin,en,src-mealdb,true
ingredient,ing-mealdb-105,Cumin Seeds,cumin seeds,en,src-mealdb,true
ingredient,ing-mealdb-106,Curry Powder,curry powder,en,src-mealdb,true
ingredient,ing-mealdb-107,Dark Brown Sugar,dark brown sugar,en,src-mealdb,true
